id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
henri-veesaar,44,Henri Veesaar,C,North Carolina,17.00,8.70,2.10,0,1.18,NBA Ready,North Carolina · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105571.png,https://www.espn.com/mens-college-basketball/player/_/id/5105571/henri-veesaar
braden-smith,45,Braden Smith,PG,Purdue,14.30,3.50,8.80,0,1.17,NBA Ready,Purdue · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105854.png,https://www.espn.com/mens-college-basketball/player/_/id/5105854/braden-smith
ryan-conwell,46,Ryan Conwell,SG,Louisville,18.80,4.80,2.70,0,1.17,NBA Ready,Louisville · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107157.png,https://www.espn.com/mens-college-basketball/player/_/id/5107157/ryan-conwell
pryce-sandfort,47,Pryce Sandfort,SG/SF,Nebraska,18.10,4.90,2.00,0,1.17,NBA Ready,Nebraska · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4858604.png,https://www.espn.com/mens-college-basketball/player/_/id/4858604/pryce-sandfort
flory-bidunga,48,Flory Bidunga,C,Kansas,13.30,9.00,1.50,0,1.17,NBA Ready,Kansas · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5044426.png,http://www.espn.com/mens-college-basketball/player/_/id/5044426/flory-bidunga
joseph-tugler,49,Joseph Tugler,PF/C,Houston,8.40,5.30,1.30,0,1.16,NBA Ready,Houston · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5060700.png,https://www.espn.com/mens-college-basketball/player/_/id/5060700/joseph-tugler
alijah-arenas,50,Alijah Arenas,SG,USC,14.10,2.90,2.10,0,1.16,NBA Ready,USC · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5144495.png,https://www.espn.com/mens-college-basketball/player/_/id/5144495/alijah-arenas
paul-mcneil-jr,51,Paul McNeil Jr,G,NC State Wolfpack,13.80,3.60,0.80,0,1.16,NBA Ready,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873151.png,http://www.espn.com/mens-college-basketball/player/_/id/4873151/paul-mcneil-jr
jaden-bradley,52,Jaden Bradley,PG/SG,Arizona,13.30,3.40,4.40,0,1.16,NBA Ready,Arizona · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432737.png,https://www.espn.com/mens-college-basketball/player/_/id/4432737/jaden-bradley
baba-miller,53,Baba Miller,PF/C,Cincinnati,13.00,10.30,3.70,0,1.16,NBA Ready,Cincinnati · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5075626.png,https://www.espn.com/mens-college-basketball/player/_/id/5075626/baba-miller
rueben-chinyelu,54,Rueben Chinyelu,C,Florida,10.90,11.20,0.70,0,1.15,NBA Ready,Florida · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174971.png,https://www.espn.com/mens-college-basketball/player/_/id/5174971/rueben-chinyelu
